RetainedTxp	DuplicateTxp
Fusarium13|1700928	Fusarium226|20700915
Root1298|3635	Root1312|3980
Root1298|3635	Root74|3281
Root1298|3635	Root954|884
Fusarium216|3568200185	Fusre1|593302
Root1298|3543	Root1312|3888
Root1298|3543	Root74|3189
Root1298|3543	Root954|977
Fusarium13|300690	Fusarium226|1000614
Fusarium216|3568200909	Fusre1|539156
Fusarium216|4100149	Fusre1|589036
Root1298|3352	Root1312|3697
Root1298|3352	Root423|2953
Root1298|3352	Root558|2295
Root1298|3352	Root74|3000
Root1298|3352	Root954|1166
Fusarium216|74007	Fusarium216|6600169
Fusarium13|380018	Fusarium226|3700143
Fusarium216|35680001040	Fusre1|556005
Plecto143|160020	Plecuc1|269503
Plecto143|3770075	Plecuc1|288988
Fusarium216|2200811	Fusre1|593975
Plecto143|74130098	Plecuc1|275892
Root1298|4573	Root1312|4319
Root1298|4573	Root74|3836
Root1298|4573	Root954|439
Fusarium216|300021	Fusre1|547255
Fusarium216|2200581	Fusre1|615070
Root423|656	Root558|657
Fusarium216|730046	Fusre1|599564
Fusarium13|2000520	Fusarium226|1800702
Fusarium216|2400633	Fusre1|578815
Fusarium216|600992	Fusre1|557047
Fusre1|457082	Fusre1|486966
Fusarium13|3001554	Fusarium226|10001472
Fusarium216|3568500182	Fusre1|680106
Plecto143|8002	Plecto143|4230001
Plecto143|8002	Plecto143|74800032
Fusarium13|2300739	Fusarium226|3000701
Fusarium216|3568200509	Fusre1|347872
Fusarium216|5300428	Fusre1|693941
Fusarium13|2000878	Fusarium226|1800355
Fusarium13|14270001033	Fusarium226|210001033
Root1298|2961	Root1312|3179
Root1298|2961	Root74|2882
Root1298|2961	Root954|1419
Mictri1|335022	Mictri1|59198
Fusarium13|162007	Fusarium226|230610037
Fusarium216|2200386	Fusre1|511821
Root1298|6816	Root1312|2272
Root1298|6816	Root74|6764
Root1298|6816	Root954|4264
Root423|6400	Root558|1959
Plecto143|8360057	Plecuc1|275232
Fusarium13|1427500762	Fusarium226|500973
Fusarium13|14001396	Fusarium226|700102
Fusarium13|17001277	Fusarium226|207001265
Root1298|1977	Root1312|2032
Root1298|1977	Root74|1983
Root1298|1977	Root954|4777
Fusarium216|240095	Fusre1|545435
Fusarium216|2400135	Fusre1|526337
Fusarium216|4100429	Fusre1|584121
Root1298|1878	Root1312|1933
Root1298|1878	Root74|1884
Root1298|1878	Root954|4877
Fusarium216|2200545	Fusre1|539525
Fusarium13|1429000139	Fusarium226|230610079
Fusarium216|4500200	Fusre1|573319
Root423|5870	Root558|3446
Fusarium13|3100440	Fusarium226|3400451
Fusarium216|450049	Fusre1|516168
Fusarium216|100415	Fusre1|588094
Plecto143|2260004	Plecto143|857400044
Plecto143|2260004	Plecuc1|300282
Plecto143|857400043	Plecto143|2260005
Plecto143|857400043	Plecto143|857400034
Plecto143|857400043	Plecuc1|331082
Root1298|5777	Root1312|3556
Root1298|5777	Root74|5271
Root1298|5777	Root954|578
Fusarium216|1100261	Fusre1|518594
Fusarium216|3000474	Fusre1|505601
Root1298|6968	Root1312|6942
Root1298|6968	Root74|6927
Root1298|6968	Root954|2869
Root1298|4192	Root1312|5486
Root1298|4192	Root74|5627
Root1298|4192	Root954|3646
Root1298|345	Root1312|345
Root1298|345	Root74|345
Root1298|345	Root954|5577
Fusarium13|14273001301	Fusarium226|7001472
Plecto143|7459003	Plecto143|1788006
Plecto143|7459003	Plecto143|7512001
Root1298|5679	Root1312|5425
Root1298|5679	Root74|5176
Root1298|5679	Root954|3073
Fusarium216|1100180	Fusre1|518822
Fusarium216|5300187	Fusre1|543210
Mictri1|340704	Mictri1|342964
Root1298|3184	Root1312|3400
Root1298|3184	Root74|3495
Root1298|3184	Root954|2186
Fusarium216|560040	Fusre1|523022
Plecto143|858550016	Plecto143|85855007
Plecto143|858550016	Plecto143|741500310
Plecto143|858550016	Plecuc1|282560
Fusarium13|3100344	Fusarium226|3400354
Fusarium13|560050	Fusarium226|2305900103
Fusarium216|35680001411	Fusre1|698818
Fusarium13|2300586	Fusarium226|3000547
Fusarium13|2000575	Fusarium226|1800646
Fusarium13|2300212	Fusarium226|3000174
Plecto143|12720058	Plecuc1|50705
Root1298|6593	Root1312|1351
Root1298|6593	Root74|1388
Root1298|6593	Root954|3587
Root1298|1356	Root1312|1411
Root1298|1356	Root74|1532
Root1298|1356	Root954|1564
Root1298|6236	Root1312|6097
Root1298|6236	Root74|5358
Root1298|6236	Root954|727
Root1298|4678	Root1312|4424
Root1298|4678	Root74|3941
Root1298|4678	Root954|334
Chafu1|459613	Chafu1|476506
Root423|610	Root558|611
Root423|1891	Root558|2943
Root423|5591	Root558|4765
Root423|1518	Root558|5165
Root423|5412	Root558|1003
Fusarium216|2200860	Fusre1|689890
Fusarium216|3568000403	Fusre1|553824
Fusarium13|4300561	Fusarium226|3100616
Plecto143|74420047	Plecuc1|320865
Root423|3059	Root558|2401
Fusarium13|1400542	Fusarium226|21600424
Root1298|2544	Root1312|2763
Root1298|2544	Root74|2466
Root1298|2544	Root954|218
Plecto143|2030028	Plecuc1|272604
Root1298|5076	Root1312|4822
Root1298|5076	Root74|4499
Root1298|5076	Root954|3980
Plecto143|75750020	Plecto143|1562007
Fusarium13|14273001478	Fusarium226|7001642
Fusarium13|1427000522	Fusarium226|21000533
Fusarium216|100398	Fusre1|531981
Root423|574	Root558|575
Root1298|2387	Root1312|2487
Root1298|2387	Root74|2391
Root1298|2387	Root954|2026
Root1298|1127	Root1312|1125
Root1298|1127	Root74|1162
Root1298|1127	Root954|5945
Plecto143|700044	Plecuc1|89120
Plecto143|1383003	Plecto143|741500290
Fusarium13|14270001288	Fusarium226|210001284
Root1298|4437	Root1312|4184
Root1298|4437	Root74|3700
Root1298|4437	Root954|2973
Fusarium13|1427300822	Fusarium226|700997
Fusarium216|35680001212	Fusre1|556443
Root1298|48	Root1312|48
Root1298|48	Root74|48
Root1298|48	Root954|5280
Fusarium13|500079	Fusarium216|5000438
Fusarium13|500079	Fusarium226|570078
Root423|1018	Root558|1691
Fusarium13|1700931	Fusarium226|20700919
Fusarium13|3800319	Fusarium226|3700439
Fusarium13|4300221	Fusarium226|3100956
Root1298|992	Root1312|990
Root1298|992	Root74|1027
Root1298|992	Root954|5810
Fusarium13|3001742	Fusarium13|17001439
Fusarium216|3568000123	Fusre1|683960
Fusarium13|1700692	Fusarium226|20700681
Plecto143|741500406	Plecuc1|329480
Root1298|6587	Root1312|1357
Root1298|6587	Root74|1394
Root1298|6587	Root954|3581
Root1433D1|428	Root322|1388
Fusarium13|4300515	Fusarium226|3100661
Root1298|6586	Root1312|1358
Root1298|6586	Root74|1395
Root1298|6586	Root954|3580
Root423|4725	Root558|6465
Fusarium13|14270001762	Fusarium226|210001746
Fusarium216|3568000670	Fusre1|554791
Plecto143|741500397	Plecuc1|257286
Fusarium216|1100361	Fusre1|518123
Fusarium13|3001720	Fusarium226|10001636
Fusarium216|356930016	Fusre1|571052
Root1298|2801	Root1312|3019
Root1298|2801	Root74|2722
Root1298|2801	Root954|1259
Root1298|17	Root1312|17
Root1298|17	Root74|17
Root1298|17	Root954|5249
Fusarium216|1800350	Fusre1|537988
Root423|1889	Root558|2941
Fusarium216|1800150	Fusre1|565151
Root1298|6956	Root1312|6930
Root1298|6956	Root74|6915
Root1298|6956	Root954|2881
Root423|6207	Root558|3087
Root423|596	Root558|597
Verdah1|464167	Verdah1|464533
Root423|1349	Root558|3910
Root1298|6064	Root1312|6182
Root1298|6064	Root74|1467
Root1298|6064	Root954|3496
Fusarium216|1001229	Fusre1|550680
Cylol1|43962	Cylol1|77823
Root1298|4705	Root1312|4451
Root1298|4705	Root74|3969
Root1298|4705	Root954|7001
Root1298|642	Root1312|641
Root1298|642	Root74|643
Root1298|642	Root954|2614
Root1298|5370	Root1312|5116
Root1298|5370	Root74|4793
Root1298|5370	Root954|5048
Fusarium13|4300579	Fusarium226|3100597
Fusarium13|1700883	Fusarium226|20700870
Root1298|4395	Root1312|4142
Root1298|4395	Root74|3658
Root1298|4395	Root954|3015
Root423|793	Root558|794
Fusarium13|3800392	Fusarium226|3700511
Fusarium13|1427500412	Fusarium226|500628
Plecto143|85710002	Plecto143|857090097
Plecto143|74150012	Plecuc1|63677
Fusarium216|1800585	Fusre1|688384
Root423|1050	Root558|1723
Fusarium13|2000511	Fusarium226|1800711
Plecto143|74490057	Plecto143|85724003
Fusarium13|14270001171	Fusarium226|210001170
Fusarium13|1427300484	Fusarium226|700609
Fusarium216|240060	Fusarium216|2600513
Plecto143|16006	Plecto143|1909003
Root1298|664	Root1312|663
Root1298|664	Root74|665
Root1298|664	Root954|2592
Fusarium13|1400983	Fusarium226|21600864
Fusarium216|7300107	Fusre1|656076
Root423|1753	Root558|2805
Fusarium13|300157	Fusarium226|100046
Fusarium216|2600306	Fusre1|571641
Root423|1096	Root558|1769
Root423|3580	Root558|4396
Fusarium13|14270001097	Fusarium226|210001096
Fusarium13|15800126	Fusarium226|3100100
Fusarium13|14275001023	Fusarium226|5001225
Fusarium13|2600791	Fusarium226|4000292
Fusarium13|2000717	Fusarium226|1800510
Root1298|5388	Root1312|5134
Root1298|5388	Root74|4811
Root1298|5388	Root954|5066
Plecto143|8360044	Plecuc1|275217
Fusarium216|2400773	Fusre1|578585
Ilyeu1|601858	Ilyeu1|605145
Root1298|2228	Root1312|2329
Root1298|2228	Root74|2233
Root1298|2228	Root954|1867
Plecto143|248007	Plecto143|248002
Plecto143|248007	Plecto143|2450011
Root1433D1|3396	Root322|2400
Root1298|2411	Root1312|2511
Root1298|2411	Root74|2415
Root1298|2411	Root954|2050
Root1433D1|2040	Root322|807
Fusarium13|14279009	Fusarium226|50044
Fusarium13|1427500921	Fusarium226|5001127
Root1298|4499	Root1312|4246
Root1298|4499	Root74|3762
Root1298|4499	Root954|2911
Fusarium226|21200221	Fusarium226|213004
Root1298|6931	Root1312|5778
Root1298|6931	Root423|6769
Root1298|6931	Root558|3064
Root1298|6931	Root74|6890
Root1298|6931	Root954|3438
Fusarium216|4100475	Fusre1|655360
Fusarium216|356930030	Fusre1|540542
Fusarium216|800820	Fusre1|536410
Fusarium216|600808	Fusre1|557492
Fusarium216|80049	Fusre1|661051
Fusarium216|4500318	Fusre1|692118
Fusarium216|2400548	Fusre1|694654
Neora1|733957	Neora1|740583
Fusarium13|1427000578	Fusarium226|21000585
Root1298|1720	Root1312|1775
Root1298|1720	Root74|4356
Root1298|1720	Root954|6778
Fusarium13|1580018	Fusarium13|142790018
Fusarium13|1580018	Fusarium226|20900323
Fusarium13|1580018	Fusarium226|50053
Root1433D1|809	Root322|1739
Morel_U14_1|163418	Morel_U14_1|87144
Fusarium216|2600414	Fusre1|514807
Fusarium216|780013	Fusre1|698326
Plecto143|700105	Plecuc1|90180
Root1298|2835	Root1312|3053
Root1298|2835	Root74|2756
Root1298|2835	Root954|1293
Fusarium13|2000607	Fusarium226|1800616
Fusarium13|3001636	Fusarium226|10001551
Root423|1344	Root558|3905
Fusarium216|2200526	Fusre1|539543
Fusarium13|1400630	Fusarium226|21600514
Fusarium216|1800503	Fusre1|688467
Fusarium13|1700449	Fusarium226|20700450
Fusarium13|1580059	Fusarium226|50079
Root423|1738	Root558|2790
Fusarium216|800800	Fusre1|686961
Root1298|5053	Root1312|4799
Root1298|5053	Root74|4476
Root1298|5053	Root954|3957
Root423|4504	Root558|5930
Root1298|1437	Root1312|1492
Root1298|1437	Root74|1613
Root1298|1437	Root954|1645
Verdah1|447127	Verdah1|447383
Verdah1|447127	Verdah1|515552
Plecto143|8740024	Plecuc1|132010
Fusarium216|1800647	Fusre1|688324
Root1298|2735	Root1312|2954
Root1298|2735	Root74|2657
Root1298|2735	Root954|27
Fusarium13|1427500615	Fusarium226|500829
Root1298|3421	Root1312|3766
Root1298|3421	Root74|3069
Root1298|3421	Root954|1097
Fusarium216|1001311	Fusre1|683281
Fusarium216|3569300406	Fusre1|645123
Fusarium216|600919	Fusre1|534837
Root1298|4926	Root1312|4671
Root1298|4926	Root74|4189
Root1298|4926	Root954|4473
Fusarium13|1700714	Fusarium226|20700705
Fusarium216|3000322	Fusre1|562045
Plecto143|81005	Plecto143|81009
Plecto143|81005	Plecto143|90050
Fusarium216|3568500394	Fusre1|713931
Root1298|6314	Root1312|6258
Root1298|6314	Root74|6193
Root1298|6314	Root954|6562
Root1433D1|2488	Root322|2773
Fusarium216|4800252	Fusre1|579487
Root1298|1439	Root1312|1494
Root1298|1439	Root74|1615
Root1298|1439	Root954|1647
Root1298|5871	Root1312|2599
Root1298|5871	Root558|5305
Root1298|5871	Root74|5519
Root1298|5871	Root954|4341
Fusarium216|1800287	Fusre1|564705
Root423|1814	Root558|2866
Root423|3080	Root558|2422
Morel_U14_1|540341	Morel_U14_1|541667
Fusarium13|1427500658	Fusarium226|500871
Fusarium216|240092	Fusre1|545432
Root423|885	Root558|1560
Fusarium13|1427300153	Fusarium226|700280
Plecto143|7623001	Plecto143|3958008
Plecto143|7623001	Plecto143|3958004
Plecto143|7623001	Plecto143|3958005
Plecto143|7623001	Plecto143|7499002
Plecto143|7623001	Plecto143|85851001
Plecto143|7623001	Plecto143|85851004
Plecto143|7623001	Plecto143|4084005
Plecto143|7623001	Plecto143|4084004
Plecto143|7623001	Plecto143|4084001
Plecto143|7623001	Plecto143|7629001
Plecto143|7623001	Plecto143|74660013
Plecto143|7623001	Plecto143|74660010
Plecto143|7623001	Plecto143|3948003
Plecto143|7623001	Plecto143|3948002
Plecto143|7623001	Plecto143|3948006
Plecto143|7623001	Plecto143|85852002
Plecto143|7623001	Plecto143|2541004
Plecto143|7623001	Plecto143|2541007
Plecto143|7623001	Plecto143|2541001
Plecto143|7623001	Plecto143|2541002
Plecto143|7623001	Plecto143|2541008
Plecto143|7623001	Plecto143|7466006
Plecto143|7623001	Plecto143|7466009
Plecto143|7623001	Plecto143|7629004
Plecto143|7623001	Plecto143|76090010
Plecto143|7623001	Plecto143|4259003
Plecto143|7623001	Plecto143|7466005
